Student	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
s51	B	A	B	D	B	D	B	D	A	C
s52	B	D	C	D	D	A	C	D	C	B
s53	B	D	A	A	C	B	B	A	B	B
s54	A	D	B	D	D	A	C	B	C	B
s55	B	D	A	D	D	D	C	D	C	B
s56	B	D	B	C	C	C	A	D	C	B
s57	B	D	C	C	A	B	B	C	C	D
s58	C	D	B	D	D	C	C	D	C	C
s59	B	D	B	B	D	D	C	D	C	A
s60	B	D	B	B	D	B	C	A	C	B
s61	B	D	B	D	D	C	C	D	A	A
s62	B	D	B	D	A	C	C	D	C	A
s63	D	D	C	D	A	A	C	A	C	B
s64	A	D	B	D	A	C	D	C	D	B
s65	D	C	C	A	B	A	B	C	B	A
s66	B	D	A	A	D	A	C	D	C	B
s67	A	D	B	D	B	D	C	B	B	B
s68	B	C	B	C	A	B	C	A	C	B
s69	B	D	D	D	D	A	C	A	C	B
s70	D	B	A	D	C	A	C	D	C	B
s71	C	B	B	D	B	D	D	C	B	A
s72	B	D	B	B	D	D	C	D	C	C
s73	B	D	B	D	D	A	C	D	C	C
s74	D	B	C	B	C	B	B	C	D	D
s75	B	C	B	D	D	A	C	D	B	A
s76	A	B	D	C	C	C	C	D	B	B
s77	C	A	B	D	C	A	C	D	C	D
s78	B	D	C	C	D	A	C	D	C	A
s79	B	B	B	D	D	A	C	A	C	B
s80	B	D	B	C	D	A	C	D	C	A
s81	B	D	B	D	D	C	C	B	C	B
s82	A	C	B	C	B	A	D	A	B	C
s83	D	D	C	D	A	C	C	D	A	A
s84	B	D	B	C	A	D	C	B	C	B
s85	D	D	B	D	C	A	C	A	C	D
s86	B	D	D	D	D	A	C	D	B	B
s87	A	B	B	B	A	A	A	B	B	D
s88	B	B	B	D	D	C	C	D	C	A
s89	A	B	D	A	C	A	A	D	D	B
s90	C	A	D	C	C	C	B	C	D	C
s91	B	C	B	C	B	C	C	B	C	A
s92	B	D	B	D	B	D	C	D	C	A
s93	B	A	A	D	D	D	D	A	A	D
s94	D	D	C	D	D	A	D	D	C	C
s95	B	D	B	C	D	A	D	D	C	B
s96	B	D	C	D	B	A	C	D	C	B
s97	D	C	C	D	C	C	C	C	B	A
s98	D	C	D	D	D	A	C	D	C	B
s99	D	B	B	A	D	D	C	D	C	B
s100	B	B	B	D	D	A	C	D	B	D
s101	C	D	C	C	C	C	D	D	D	B
s102	B	C	B	C	D	A	C	A	C	B
s103	B	D	B	D	C	A	A	D	B	B
s104	B	A	A	C	D	A	A	D	B	A
s105	C	B	B	A	B	D	A	A	A	C
s106	D	D	B	B	D	A	C	C	C	B
s107	B	B	D	C	D	B	B	C	A	C
s108	B	D	B	D	D	D	C	C	C	B
s109	A	D	C	D	D	A	D	D	D	C
s110	B	D	B	C	C	A	C	D	C	B
s111	B	C	C	D	D	A	C	D	D	A
s112	B	C	B	D	D	A	C	C	C	B
s113	B	C	B	C	D	D	C	B	B	B
s114	B	D	B	C	D	A	A	D	C	A
s115	A	B	B	A	D	A	C	A	C	B
s116	B	D	B	D	D	B	A	B	C	B
s117	A	D	B	D	D	B	B	B	C	A
s118	B	A	B	A	A	A	C	D	C	B
s119	B	C	B	D	A	A	B	D	C	B
s120	D	A	A	A	D	C	D	B	A	C
s121	B	D	A	B	D	A	B	D	C	D
s122	A	D	B	D	C	D	C	D	D	B
s123	B	D	B	D	D	C	C	D	C	B
s124	B	D	C	D	A	A	A	D	C	B
s125	B	D	B	A	D	A	C	C	C	B
s126	C	D	A	D	D	C	C	C	B	B
s127	B	D	B	D	A	D	D	B	C	B
s128	B	D	B	D	D	A	C	D	C	B
s129	B	D	B	C	D	A	C	D	D	B
s130	D	D	B	D	C	D	C	A	D	B
s131	B	D	C	D	D	C	C	D	C	B
s132	A	D	C	C	B	D	B	B	A	A
s133	B	B	A	D	D	A	C	D	A	B
s134	B	B	C	C	D	A	B	D	D	B
s135	B	C	B	D	D	A	C	D	A	B
s136	B	D	B	D	A	B	C	D	C	B
s137	A	D	D	D	C	A	C	B	A	A
s138	B	D	B	D	D	A	B	A	C	D
s139	B	D	B	D	D	A	C	D	C	B
s140	D	B	C	D	B	B	C	C	C	B
s141	D	A	B	C	D	A	C	D	B	C
s142	C	C	A	C	B	C	B	D	D	C
s143	B	D	B	D	D	A	C	D	C	B
s144	B	D	B	B	C	A	B	D	C	B
s145	D	B	B	B	D	A	C	C	B	B
s146	B	A	D	D	D	A	C	D	C	B
s147	B	D	B	A	D	A	A	C	C	B
s148	A	D	A	B	C	D	C	D	C	D
s149	B	C	D	D	D	A	C	D	B	A
s150	D	D	B	B	D	B	B	B	B	B
s151	A	D	C	A	A	A	C	A	C	B
s152	B	D	B	D	A	A	C	B	C	B
s153	D	D	B	A	B	D	C	D	C	B
s154	B	D	B	D	D	A	C	A	D	D
s155	B	C	B	D	B	B	C	D	C	B
s156	C	A	B	B	D	B	D	D	D	B
s157	A	D	B	D	D	A	C	A	C	B
s158	D	D	B	D	D	D	D	D	C	B
s159	B	D	B	A	D	A	C	A	C	B
s160	B	B	A	C	A	C	B	B	D	D
s161	D	B	B	A	A	B	C	A	B	A
s162	B	C	A	C	B	C	C	D	C	B
s163	D	B	C	C	A	D	A	A	B	D
s164	D	D	B	D	D	D	C	A	D	A
s165	B	D	B	B	D	A	C	A	C	B
s166	C	D	A	A	D	A	C	B	D	B
s167	B	D	B	D	D	B	B	B	C	A
s168	D	D	C	D	C	C	B	B	A	C
s169	D	A	B	A	A	B	A	A	A	C
s170	B	C	B	A	A	A	C	C	C	B
s171	B	D	B	D	D	A	C	D	C	B
s172	A	D	D	D	D	C	A	D	B	D
s173	D	D	B	D	B	A	C	C	C	B
s174	D	A	D	C	C	B	A	A	B	B
s175	D	C	B	D	D	A	C	B	C	C
s176	B	A	D	B	D	C	C	D	B	D
s177	B	A	C	B	C	D	A	B	B	D
s178	D	D	C	D	A	B	D	A	B	A
s179	C	A	A	D	D	D	B	D	C	B
s180	B	D	B	D	D	A	C	C	D	A
s181	B	D	C	D	C	A	C	D	C	C
s182	D	A	B	A	D	C	D	D	C	A
s183	C	C	B	A	D	A	C	B	C	B
s184	D	D	D	C	D	B	D	C	C	D
s185	C	B	D	D	A	A	B	D	B	C
s186	B	C	B	C	D	C	C	D	C	B
s187	B	D	B	D	D	B	C	D	C	B
s188	D	D	A	D	D	C	A	D	D	A
s189	B	D	B	D	D	A	C	D	C	B
s190	B	D	B	D	D	D	C	D	A	B
s191	B	A	B	D	D	A	C	C	D	B
s192	B	D	B	D	D	A	C	D	C	B
