no	class	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21
63	0	-0.62	-0.73	-1.33	0.57	1.24	1.26	2.26	2.7	2	1.58	3.32	1.62	3.04	3.31	4.42	3.72	2.27	0.92	2.04	-0.19	-2.13
64	0	-1.82	1.99	1.33	2.37	2.53	5.14	3.51	3.69	4.71	2.12	2.23	2.81	1.21	2.43	2.92	0.85	1.43	3.11	-0.25	0.62	0.23
65	0	0.57	0.23	3.42	2.97	2.68	2.61	3.67	1.95	2.61	2.91	1.45	1.18	1.2	2.87	1.24	-0.05	0.52	0.51	1.03	-0.23	-0.27
66	0	-0.21	1.1	2.3	2.74	2.03	4.21	3.68	1.73	4.48	4.54	1.83	-1.04	1.45	1.95	1.74	0.2	3.14	0.62	-0.51	-0.24	-0.44
67	0	1.91	-0.68	0.93	2.01	2.62	3.04	3.18	3.16	0.65	0.83	2.56	0.86	1.09	2.33	2.75	2.36	1.93	2.86	1.3	0.5	-0.86
68	0	-1.01	0.31	2.02	2.87	1.21	1.08	3.26	1.33	1.91	1.13	0.81	0.96	2.34	1.54	3.12	3.53	3.86	0.56	0.08	-0.16	-0.1
69	0	-0.93	-0.23	-0.4	3.04	-1.71	1.8	1.58	0.97	-1.48	2.48	1.94	3.82	4.59	3.88	7.68	4.11	4.28	3.67	1.22	-0.03	1.06
70	0	-0.29	-1.69	2.18	1.98	2.78	3.96	4.4	1.86	2.43	2.15	2.64	1.92	1.71	0.91	1.99	1.49	1.25	1.21	1.44	0.27	-0.25
71	0	-0.01	2.75	1.2	-0.2	4.05	2.76	4.97	4.43	2.21	3.51	1.24	0.71	2.45	1.16	2.36	2.19	2.6	0.04	0.11	0.76	2.95
72	0	-1.16	1.27	1.42	-0.6	1.09	0.35	0.27	-0.39	0.26	2.23	2.87	3.77	4.49	2.68	5.25	2.91	0.82	2.51	2.28	0.66	-0.6
73	0	-0.11	0.3	2.74	0.96	4.59	7.62	6.19	5.73	1.41	1.2	2.52	2.02	0.63	0.74	1.6	0.84	-1.23	0.7	-0.12	-0.62	0.98
74	0	-0.02	0.79	-1.32	-0.17	0.95	2.31	0.12	1	0.26	1.69	1.72	2.97	2.2	4.61	6.44	4.66	5.46	3.55	1.55	0.67	0.27
75	0	-1.28	1.03	0.38	0.67	2.87	0.4	2.42	1.55	2.24	1.13	0.56	4.12	2.13	3.23	3.27	2.22	2.82	-0.13	1.23	-0.82	-0.33
76	0	1.68	-0.38	0.32	0.9	-1.13	2.88	1.52	0.02	2.01	0.8	2.53	1.79	3.48	4.95	5.64	5.96	2.56	3.8	1.59	1.18	-0.79
77	0	0.36	0.82	1.26	1.82	1.86	1.61	2.36	0.81	1.77	2.53	2.75	2.87	3.37	2.23	5.16	5.43	2.98	4.22	2.27	0.97	-0.86
78	0	-0.91	-0.47	0.65	0.74	-0.24	-0.19	2.44	2.35	1.64	0.79	0.53	3.16	5.25	1.85	5.55	3.86	3.63	2.8	1.51	0.47	0.36
79	0	-0.63	-0.58	1.36	1.85	0.98	0.44	1.91	1.5	1.37	1.16	1.72	2.48	3.48	3.02	3.88	2.95	3.37	1.58	-0.74	2.03	-0.33
80	0	0.32	-0.78	0.47	1.65	1.42	2.76	3.2	3.2	2.43	0.32	2.67	1.94	2.57	2.27	2.24	2.83	0.45	0.84	-0.59	-0.29	0.32
81	0	-0.81	-0.36	3.08	3.45	3.41	4.99	4.51	4.04	3.6	3.24	2.67	2.83	-1.08	-1.22	-0.61	0.16	0.14	1.04	-1.89	0.81	-0.27
82	0	-0.81	0.2	1.88	1.45	3.47	2.96	5.51	4.42	4.52	2.51	2.71	0.91	1.96	-0.58	1.8	-0.68	-0.53	1.99	-0.42	0.18	1.29
83	0	-1.79	-0.05	1.03	3.34	3.51	2.05	4.07	2.24	3.71	1.54	1.41	1.3	-0.04	1.82	2.21	2.91	1.74	-0.17	-0.27	-1.56	0.44
84	0	0.59	-0.65	1.84	2.68	0.82	2.21	3.77	0.47	1.96	1.8	1.06	2.35	4.51	3.32	2.34	2.86	2.44	2.37	2.33	0.24	-0.82
85	0	0.91	-1.83	1.53	0.59	1.44	3.21	2.59	3.79	3.01	2.11	1.58	-0.72	1.88	2.47	3.66	1.41	2.8	0.36	1.58	-0.14	0.45
86	0	1.9	0.24	1.22	2.24	1.92	1.18	5.09	3.67	1.42	1.78	-0.11	1.76	0.54	0.62	1.14	1.48	3.21	0.08	-0.48	1.36	-0.72
87	0	-0.6	0.27	-0.21	0.65	1.1	0.68	1.91	0.85	-0.82	0.25	0.99	2.86	5.59	1.97	5.69	4.35	4.91	1.74	0.57	-0.46	0.44
88	0	1.59	0.35	0.92	0.82	-1.63	-0.77	-1.31	1.38	0.87	1.55	1.04	2.89	3.56	4.77	7.41	4.27	6.61	2.47	2.01	1.36	-0.48
89	0	-0.4	0.52	3.01	2.4	4.43	3.41	4.21	5.09	2.93	2.61	1.15	0.79	0.36	2.2	0.61	1.91	-0.02	2.48	0.75	0.24	-0.08
90	0	0.69	0.98	1.99	2.13	3.37	6.43	6.22	5.3	3.58	1.59	0.48	1.53	1.16	1.27	-0.07	0.24	0.25	-1.1	0.54	0.46	-0.03
91	0	0.16	0.52	-0.3	0.96	3.66	0.43	1.74	2.48	1.46	0.36	0.78	2.29	2.56	4.24	5.15	2.98	3.27	2.6	2.98	1.01	0.07
92	0	0.09	-1.78	0.87	1.5	3.21	2.98	4.59	3.9	2.92	3.66	2.45	1.54	0.13	1.47	2.9	-0.94	1.12	0.63	1.03	0.13	1.47
93	0	0.51	1.02	-0.21	0.41	-1.22	-0.44	1.31	0.69	1.24	-0.07	3.29	3.63	4.53	5.3	7.01	6.56	4.38	3.14	1.14	1.41	-0.15
94	0	-1.65	1.39	1	2.58	1.21	2.56	1.71	1.85	1.67	0.47	1.01	2.46	1.31	3.58	4.13	3.54	3.67	2.43	1.16	-0.02	0.84
95	0	0.43	0.62	0.45	0.98	2.51	4.62	6.21	3.13	1.54	3.68	4.03	0.99	-0.41	0.82	1.26	0.98	1.96	-1.15	-0.66	-0.28	-0.21
96	0	0.07	2.13	2.11	-0.27	1.91	3.85	2.07	2.14	1.97	2.16	-0.12	0.87	2.15	1.8	4.64	2.92	2.15	1.22	3.65	-1.45	-0.55
97	0	0.2	2.53	0.59	1.96	0.15	1.87	3.57	-0.1	1.28	1.48	3.4	3.57	4.83	3.79	3.68	3.65	2.23	0.65	0.92	1.85	2.14
98	0	-1.23	0.06	0.95	0.25	-1.13	2.59	0.72	1.1	1.99	1.17	2.25	3.67	4.62	6.77	6.26	5.78	4.54	2.88	2.11	-0.63	0.52
99	0	-0.51	0.47	1.31	0.05	0.88	0.41	2.76	0.9	0.5	3.33	1.12	3.23	1.7	2.04	5.8	2.98	3.15	0.44	3.11	2.84	-1.93
100	0	-1.2	0.93	1.67	3.74	2.67	5.66	3.9	1.77	3.44	0.79	2.01	2.23	2.96	1.37	-0.02	1.85	-1.89	1.36	-0.11	-0.73	0.1
101	0	0.84	2.55	0.75	0.74	2.62	1.93	1.84	4.11	0.72	1.08	3.1	2.13	1.97	3.12	4.72	2.36	1.73	0.93	1.86	0.09	0.6
102	0	-0.7	1.88	1.93	0.42	2.28	0.22	2.05	1.32	2.9	0.58	1.41	3.08	0.99	2.18	3.17	3.93	2.03	2.83	1.31	-0.27	0.33
103	0	-0.71	1.8	1.52	-1.11	1.38	1.64	0.89	0.21	0.64	1.32	2.15	3.88	3.32	4.08	5.48	2.87	2.36	3.64	1.76	0.63	0.3
104	0	-0.67	-0.4	0.55	0.92	0.92	0.74	2.42	0.08	1.46	0.56	1.96	1.14	2.48	3.04	4.82	4.27	3.66	2.18	-0.13	2.61	-0.87
105	0	-0.35	0.98	1.07	3.52	3.14	4.2	5.41	3.76	1.02	2.41	2.7	2.22	1.07	1.91	0.6	1.27	0.85	1.12	0.42	0.42	1.08
106	0	1.77	-0.44	1.07	3.49	0.72	2.5	2.81	3.38	1.69	1.14	1.36	3.15	2.76	1.64	2.19	2.51	0.7	0.15	0.03	2.13	0.25
107	0	-0.4	-0.42	1.18	1.49	3.07	2.79	4.44	3.65	3.59	2.15	1.81	3.56	0.33	2.77	1.15	1.71	1.55	1.45	0.42	-0.15	0.34
108	0	0.73	0.51	-0.07	0.57	0.65	1.28	-1.31	1.09	-1.86	0.55	1.64	2.62	3.3	4.16	6.17	5.5	4.38	4.47	2.14	0.33	0.06
109	0	-1.72	1.04	1.77	3.57	4.21	3.52	3.44	4.13	2.21	2.71	3.78	2.24	-1.33	0.16	-0.5	-0.26	-0.49	-1.13	1.26	-0.4	1.54
110	0	-0.12	-0.73	-0.37	1.16	2.01	0.25	2.2	-0.07	-0.09	1.18	3.31	1.79	3.82	5.08	5.84	5.75	6.74	4.23	0.45	0.02	1.42
111	0	-0.81	-0.1	0.07	1.43	-0.02	1.79	3.65	2.57	2.59	2.39	1.01	1.61	1.64	1.35	4.03	3.67	2.87	2.77	0.33	1.39	0.51
112	0	0.26	0.89	2	2.04	2.84	3.9	1.29	3.06	3.05	2.94	3.21	1.53	0.51	2.65	0.49	2.09	1.91	0.62	-0.96	-0.24	0.99
113	0	-0.95	2.83	0.9	0.19	1.18	-2.06	0.6	0.3	-0.44	-0.47	0.64	2.68	5.47	4.46	6.35	4.81	3.63	3.09	1.4	1.64	-1.63
114	0	-1.13	0.28	2.59	0.92	3.02	3.62	1.34	1.83	2.18	4.12	0.95	0.84	2.99	0.19	2.5	2.8	1.41	1.89	1.66	0.73	1.02
115	0	-0.11	1.49	0.75	1.9	3.53	5.7	4.04	2.27	0.35	2.2	0.11	0.79	-1.3	-0.71	0.55	0.88	0.82	-1.66	0.71	1.4	0.11
116	0	-0.5	1.62	3.09	1.12	3.36	5.3	5.34	4.79	1.58	1.9	2.85	-0.55	-0.24	1.26	2.05	2.32	-0.83	-0.85	-0.85	-0.94	0.12
117	0	0.46	0.27	1.54	2.75	4.47	4.97	4.66	5.54	1.62	2.64	1.32	1.65	0.06	1.73	0.19	-0.74	-0.09	0.38	1.47	0.98	-0.37
118	0	-0.97	0.52	1.23	2.49	3.52	5.08	4.57	3.16	3.21	2.59	1.26	0.52	0.67	1.17	0.06	0.47	-0.19	0.04	-0.19	-0.84	-2.22
119	0	0.41	1.85	1.51	1.6	2.45	2.89	5.45	3.17	3.01	3.73	2.86	1.87	0.35	3.15	-0.3	3.09	2.48	2.66	0.62	0.09	0.93
120	0	0.09	0.3	0.12	0.86	1.13	3	2.23	4.04	3.79	1.53	1.39	3.41	0.14	0.73	2.03	0.76	1.41	-0.66	0.41	0.78	-0.38
121	0	-0.18	1.38	0.91	2.57	2.25	3.61	2.78	3.7	3.15	3.79	0.95	0.68	0.75	0.08	3.71	1.01	1.53	-0.07	1.11	0.27	0.82
122	0	0.28	-0.19	1.95	2.01	2.54	4.64	3.9	3.63	2.11	1.48	0.49	0.66	1.17	3.08	1.82	-0.12	1.57	1.29	1.43	0.71	-1.47
123	0	-1.17	-1.6	-1.6	0	1.32	0.65	0.4	0.62	0.93	0.31	1.92	2.55	4.59	6.23	5.59	4.76	4.06	3.41	1.77	1.09	-0.23
124	0	-0.35	2.38	1.35	3.64	3.35	5.47	6.22	5.04	3.43	2.91	1.01	0.37	-0.73	-0.53	0.39	0.21	-0.71	-1.01	-0.79	0.34	-0.7
125	0	1.56	0.26	-0.56	-0.45	-0.09	1.59	0.9	-0.54	-2.6	0.75	0.86	1.31	2.41	5.23	4.33	3.92	3.98	1.5	2.24	-0.81	0.95
126	0	0.16	3.38	1.29	3.19	3.73	3.9	5.19	3.65	2.21	3.96	2.19	2.55	0.68	-1.22	0.47	-1.93	-0.04	0.01	1.42	1.48	-1.36
127	0	0.07	1.73	-0.3	0.92	1.84	2.71	1.15	-0.23	1.73	2.13	3.33	3.11	4.1	3.91	4.31	3.2	2.71	2.54	2.23	1.14	0.76
128	0	-1.66	-0.13	1.12	1.53	3.71	2.42	6.84	6.06	2.33	2.07	2.91	0.67	-0.86	-0.02	2.3	0.37	1.5	1.11	1.31	0.61	-2.05
129	0	0.61	-0.26	3	1.77	1.66	2.22	3.76	2.84	1.25	2.52	1.54	3.52	0.91	0.69	-0.29	0.96	0.27	1	0.16	1.46	-0.93
130	0	-0.6	0.08	2.31	0.94	2.45	6.63	7.52	4.68	3.61	2.25	0.78	1.81	-0.08	-0.08	0.14	2.29	1.81	1.8	-0.81	1.26	0.7
131	0	0.31	1.74	0.16	1.97	2.13	3.33	2.47	1.42	2.8	1.19	3.41	2.16	2.62	3.14	1.51	3.85	2.66	1.36	2.01	0.33	-0.04
132	0	-1.1	2.56	2.08	3.01	3.9	6.13	5.34	4.56	4.83	2.59	2.6	0.93	-1.05	-1.71	1.02	-0.42	-0.46	-0.28	-0.08	-0.81	0.77
133	0	0.21	1.25	0.04	0.34	0.4	-0.1	-0.01	0.07	0.4	1.33	1.59	3.57	2.86	6.6	6.54	3.94	2.26	3.44	0.42	0.25	0.61
134	0	-0.8	0.4	-0.16	1.39	0.54	2.86	2.12	2.42	0.82	3.31	-0.34	2.87	4.23	4.84	6.34	3.76	1.52	1.71	2.5	0.57	-1.53
135	0	-0.03	0.14	2	3.27	0.34	2.14	2.02	1.22	1.82	0.47	4.74	2.33	2.28	2.63	3.81	1.69	2.82	2.03	1.3	-0.67	0.57
136	0	0.8	-0.43	0.57	-0.21	0.79	0.81	1.81	-0.65	0.84	1.12	2.69	2.79	3.38	5.35	5.28	3.25	5.05	2.24	2.05	0.56	0.81
137	0	0.29	1.66	0.33	0.97	1.72	2.57	2.61	2.01	1.19	3.02	2.56	2.37	0.93	1.4	2.72	4.01	2.11	1.81	0.51	-0.25	0.55
138	0	-1.61	-0.29	1.24	2.58	3.28	2.94	4.13	4.52	2.56	1.88	2.84	1.94	1.79	-0.14	1.86	0.46	-0.36	0.23	-0.09	0.05	2.4
139	0	-0.22	-1.58	-0.18	0.46	0.54	0.93	1.7	-0.27	1.33	0.24	3.13	3.49	2.67	2.56	5.88	2.91	2.79	1.61	1.97	2.36	-0.76
140	0	-1.74	0.98	2.28	1.64	1.74	6.35	4.11	3.8	3.8	3.61	1.89	3.43	0.78	0.59	-0.69	-0.31	0.29	0.76	-0.6	-1.44	1.43
141	0	-0.42	0.42	-0.43	0.6	-1.05	0.34	1.75	0.71	1.09	-0.79	1.17	5.27	3.49	3.54	4.5	4.08	3.38	2.72	0.21	2.36	0.83
142	0	0.1	-0.14	0.41	0.05	0.64	1.45	-0.41	-0.21	0.07	0.96	2.69	0.25	3.03	1.95	4.4	4.65	4.97	0.84	1.43	2.76	-0.78
143	0	0.4	0.09	-0.13	-0.07	2.09	2.28	2.21	1.75	1.95	0.82	-0.19	2.39	3.25	3.51	4.3	4.77	3.11	1.96	1.73	0.52	-1.31
144	0	-1.18	1.94	0.02	3.15	4.62	5.18	6.21	4.26	4.88	1.52	0.71	1.01	1.14	-0.66	0.57	0.59	1.01	0.59	0.26	2.29	-1.69
145	0	-2.55	0.64	0.1	0.75	1.05	2.26	3.05	3.05	3.33	3.42	2.79	1.69	3.21	1.74	3.14	1.41	2.31	1.01	-0.18	0.79	-1.35
146	0	-1.99	-0.94	1.58	1.48	1.66	2.1	2.55	1.89	0.39	1.59	1.27	2.61	-0.66	3.42	2.75	3.11	3.86	2.15	0.6	0.66	-0.59
147	0	0.82	1.43	2.18	2.1	3.16	4.66	4.2	5.64	3.15	3.91	1.67	1.06	1.87	0.4	0.62	-0.67	0.99	-0.42	2.06	-0.38	0.97
148	0	-1.97	0.71	0.46	-0.6	2.79	2.63	2.84	4.4	3.13	1.98	-0.06	0.93	0.58	2.47	-0.27	1.46	0.65	1.65	0.35	-0.21	0.81
149	0	0.57	2.5	0.87	1.84	2.72	4.53	4.27	3.69	2.84	3.13	2.33	-0.15	1.53	1.24	1.77	0.62	1.42	0.42	-0.15	-1.25	0.58
150	0	0.5	-0.73	-1.06	-0.08	1.39	-0.33	1.13	-1.5	-0.49	0.41	3.04	2.4	2.27	3.97	5.83	4.64	5.3	3.02	3.01	1.1	0.7
151	0	0	1.46	0.17	-0.15	0.89	2.05	2.38	3.3	2.75	1.49	2.89	3.18	2.67	3.87	0.6	2.08	4.81	0.67	0.27	3.19	2.04
152	0	-0.13	-0.36	2	2.33	5.48	2.57	3.24	4.77	4.9	2.15	1.12	3.49	1.72	1.84	0.42	0.25	1.96	2.6	-0.26	-0.44	1.13
