Type	KSIR.V1	KSIR.V2	KSIR.V3	KSIR.V4	KSIR.V5
Type C	0.21997103	-0.074169041	0.001473434	0.010728058	0.010728058
Type A	-0.198204104	-0.08684396	0.079572108	0.023659239	0.023659239
Type A	-0.174168134	-0.066523897	0.062386141	0.045190673	0.045190673
Type A	-0.199825384	-0.084861849	-0.115669532	-0.045092394	-0.045092394
Type B	-0.02263611	0.128254252	-0.055712229	-0.080928947	-0.080928947
Type B	-0.006207534	0.102864331	0.097246696	0.102617059	0.102617059
Type C	0.230166048	-0.070851902	0.179396678	0.014160595	0.014160595
Type A	-0.184303509	-0.081630454	-0.142338398	-0.08234732	-0.08234732
Type C	0.206040804	-0.046370365	-0.064154363	0.033412082	0.033412082
Type A	-0.137917304	-0.041767079	-0.008151703	-0.029943875	-0.029943875
Type B	-0.008407659	0.146435521	-0.040315806	-0.04988807	-0.04988807
Type B	-0.00926607	0.106681414	0.043620625	-0.017681658	-0.017681658
Type B	-0.002128469	0.125256655	-0.227202053	-0.07767973	-0.07767973
Type B	0.017525421	0.107539401	-0.121800897	-0.024856782	-0.024856782
Type B	-0.016898456	0.10160859	0.018434159	0.010745575	0.010745575
Type B	0.005972538	0.108315977	0.071292664	-0.017134876	-0.017134876
Type B	0.000679564	0.133240437	0.2344719	0.076883966	0.076883966
Type C	0.171313891	-0.034475961	0.004774665	0.041985861	0.041985861
Type B	-0.012234794	0.122765593	0.101639437	0.017944914	0.017944914
Type C	0.206623898	-0.062154484	-0.170339424	-0.131611474	-0.131611474
Type B	-0.021129502	0.077521886	0.115050668	-0.026355259	-0.026355259
Type A	-0.165677749	-0.090932111	-0.096879061	-0.033199261	-0.033199261
Type C	0.23501663	-0.072376816	0.0571136	0.038068077	0.038068077
Type B	-0.044961402	0.108425322	0.23357292	0.075446076	0.075446076
Type B	0.020508747	0.104869783	0.162644069	0.006306437	0.006306437
Type C	0.210303715	-0.060762598	0.021546317	0.022817032	0.022817032
Type B	0.068611683	0.040552694	-0.151071363	-0.035655321	-0.035655321
Type A	-0.178248986	-0.080208644	0.059865414	0.049114941	0.049114941
Type A	-0.168897277	-0.068318497	0.051187249	-0.01167366	-0.01167366
Type A	-0.159925403	-0.044060832	0.02968567	0.01340362	0.01340362
Type B	0.000455988	0.104210341	-0.00364648	-0.029814366	-0.029814366
Type B	-0.009891327	0.119193284	-0.163361787	-0.007372936	-0.007372936
Type B	0.019376962	0.120454482	0.080227849	-0.027023597	-0.027023597
Type C	0.228998024	-0.060183526	0.130207162	0.038732911	0.038732911
Type A	-0.178436456	-0.086768965	0.096117963	0.116795777	0.116795777
Type A	-0.159718548	-0.055246257	-0.023552198	0.081130233	0.081130233
Type B	-0.006495092	0.102734434	-0.041137509	0.096416919	0.096416919
Type B	0.002852084	0.10766009	0.145239743	0.02490443	0.02490443
Type A	-0.181070048	-0.080893353	-0.148521642	-0.082444138	-0.082444138
Type A	-0.18567078	-0.080929271	-0.290892895	-0.191647349	-0.191647349
Type A	-0.175166287	-0.071595859	-0.09918754	-0.009300762	-0.009300762
Type B	-0.042249627	0.109760931	0.071620988	0.039079118	0.039079118
Type A	-0.143589355	-0.059501123	0.066065312	0.019491374	0.019491374
Type A	-0.16621101	-0.045402515	0.010785044	-0.026740728	-0.026740728
Type A	-0.182824042	-0.096473835	0.177364374	-0.011327949	-0.011327949
Type A	-0.211039872	-0.10519091	0.00025596	-0.043283225	-0.043283225
Type B	0.033691497	0.123886505	-0.122717398	-0.065562111	-0.065562111
