Genes	phase	alpha0	alpha7	alpha14	alpha21	alpha28	alpha35	alpha42	alpha49	alpha56	alpha63	alpha70	alpha77	alpha84	alpha91	alpha98	alpha105	alpha112	alpha119
YBL002W	S	-2.06	-1.98	-1.64	-0.21	1.21	0.69	0.85	0.43	-0.32	-0.77	-1.1	-0.02	0.88	1.3	1.29	1.29	0.16	0
YBL003C	S	-1.61	-2.55	-1.09	-0.55	0.98	1.14	0.9	0.43	-0.41	-0.38	-1.18	-0.16	0.77	1.27	1.17	1.3	0.05	-0.09
YBR009C	S	-2.36	-2.71	-1.46	-0.16	1.51	1.65	0.68	0.41	-0.31	-0.33	-0.74	-0.01	0.97	1.01	1.36	0.67	0.08	-0.26
YBR010W	S	-1.81	-1.94	-1.33	0.01	1.51	0.91	0.69	0.11	-0.4	-0.78	-1.12	-0.09	0.96	1.32	1.24	0.57	0.35	-0.2
YDR224C	S	-1.51	-1.57	-1.35	0.04	1.3	1.15	0.94	-0.08	-0.13	-0.72	-0.75	-0.26	0.98	0.94	1.09	0.31	0.07	-0.43
YDR225W	S	-1.46	-2.3	-1.41	-0.27	1.4	1.18	1.11	0.08	-0.18	-0.82	-0.9	-0.46	0.98	1.15	1.47	0.58	0.18	-0.35
YNL030W	S	-2.25	-1.97	-1.74	0.26	1.26	1.4	0.95	0.22	-0.15	-0.97	-0.74	-0.08	1.14	0.96	1.4	0.55	0.11	-0.33
YNL031C	S	-1.71	-1.35	-1.46	0.11	0.94	1.36	0.73	-0.06	-0.25	-0.71	-0.93	0	0.9	1.12	1.07	0.29	0.24	-0.27
YDL155W	S/G2	-0.74	-0.33	-0.11	0.19	0.19	0.31	-0.29	0.29	0.09	-0.14	0	0.19	0.06	-0.01	-0.1	0.43	-0.01	-0.01
YDR150W	S/G2	-0.44	-0.76	-0.7	-0.65	-0.14	-0.1	0.44	0.22	0.42	0.15	0.13	0.06	0.11	0.15	0.21	0.3	0.41	0.18
YER011W	S/G2	-0.4	-0.52	-0.69	0.85	-0.13	-0.55	0.22	-0.31	0.14	-0.13	-0.18	-0.28	0.33	0.12	0.57	0.29	0.59	0.08
YFR028C	S/G2	-0.32	-0.44	-0.59	-0.27	-0.37	0.37	0.09	0.06	0.3	0.39	0	-0.03	0.14	0.06	0.17	0.28	-0.05	0.22
YKL096W	S/G2	-1.1	0.26	0.24	-0.26	0.03	0.7	1.6	0.72	-0.15	1.41	-2.07	-2.13	-0.78	-0.45	0.82	0.5	0.89	-0.23
YLR210W	S/G2	0.05	0.01	-0.27	0.23	0.36	0.38	0.36	-0.03	-0.11	-0.09	-0.42	-0.08	-0.14	0.22	0.17	0.11	-0.79	0.04
YMR198W	S/G2	2.17	-0.1	-0.84	-0.7	-0.04	0.29	0.26	-0.08	-0.04	-0.07	-0.66	-0.52	-0.17	0.12	0.17	0.08	0.26	-0.14
YAR018C	G2/M	-0.46	0.12	-0.06	-0.76	-0.7	-0.79	-0.2	-0.06	0.82	0.36	0.68	-0.13	0.2	-0.32	0.04	0.57	0.17	0.53
YBR054W	G2/M	-1.35	-1.1	-0.39	-1.42	-1.22	-1.84	-0.49	0.37	1.21	1.54	1.39	1.12	0.3	0.21	-0.32	0.21	0.65	1.13
YDR077W	G2/M	-0.02	0.06	0.38	0.33	0.01	-0.4	-0.64	-0.05	0.5	0.02	0.81	0.08	-0.13	-0.46	-0.33	0.04	-0.28	0.07
YGL116W	G2/M	-0.19	-0.19	-0.49	-0.77	-0.31	-0.61	-0.03	0.48	0.93	0.53	0.11	0.17	-0.51	-0.4	0.08	-0.12	0.56	0.74
YGL190C	G2/M	0.06	0.08	-0.04	-0.01	-0.04	0.06	0.09	0.03	-0.12	0	-0.16	0.02	0.13	-0.07	-0.21	0	0.3	-0.14
YGR108W	G2/M	-1.88	-0.95	-1.22	-1.1	-0.91	-0.06	0.5	1.2	1.11	0.22	0.47	-0.02	-0.12	-0.12	0.42	0.98	0.7	0.78
YJL157C	G2/M	2.12	0.13	-0.85	-1.41	-0.66	-0.97	-0.66	-0.73	-0.25	0.85	1.17	0.53	0.09	0.01	-0.27	-0.03	0.23	0.7
YLR131C	G2/M	-1.54	-0.14	-1.05	-1.16	-0.69	0.08	0.61	0.76	0.75	0.44	-0.24	-0.3	0.76	-0.22	0.17	0.37	0.93	0.45
YOR058C	G2/M	-0.72	0.43	0.11	0.48	-0.13	-0.32	0	-0.02	1.1	-0.16	0.21	-0.26	-0.11	-0.53	0.54	-0.35	-0.26	-0.02
YAL040C	M/G1	1.04	0.19	0.47	-1.03	-0.63	-0.68	0.1	-0.02	0.53	0.68	0.51	-0.2	-0.34	-0.59	-0.31	-0.25	0.11	0.44
YBR083W	M/G1	0.75	0.29	-0.57	-0.03	-0.57	-0.97	-0.49	-0.54	-0.17	0.35	0.91	0.48	0.11	0.01	0.32	-0.36	0.12	0.34
YBR202W	M/G1	-0.59	-0.65	0.66	-0.65	-1.12	-1.21	-0.85	0.39	1.04	0.91	0.93	0.48	-0.16	0.02	-0.62	0.24	0.41	0.75
YCL027W	M/G1	2.47	0.3	-0.43	-0.12	-0.55	-0.19	-0.51	-0.22	-1.06	-0.11	0.42	0.23	0.08	-0.12	-0.59	0.54	-0.22	0.08
YDL127W	M/G1	1.83	-0.5	-0.24	-0.26	-0.26	0.1	-0.32	-1.03	-0.83	0.64	0.92	0.74	0.46	0.14	-0.22	-0.5	-0.28	-0.39
YDL179W	M/G1	-0.99	-0.24	-0.74	-0.44	-0.67	-0.01	-0.95	-0.39	-0.44	1.14	1.99	0.87	0.36	0.28	-0.07	0.16	-0.05	0.2
YER111C	M/G1	-1.21	-0.26	1.36	1.37	0.54	0.18	-0.85	-0.82	-0.75	0.07	0.89	0.78	0.37	-0.19	-0.11	-0.54	-0.34	-0.47
YKL185W	M/G1	0.2	-0.61	0.13	-0.85	-0.99	-1.14	-1.5	-1.14	0.11	2.09	2.18	1.21	0.47	0.09	-0.37	-0.28	-0.5	0.9
YLR079W	M/G1	-0.66	0.1	-0.57	-0.21	-0.45	-0.42	-0.77	-0.53	-0.47	0.81	1.41	1.01	0.68	0.21	-0.04	-0.09	-0.28	0.27
YLR286C	M/G1	1.18	0.92	0.5	-0.17	-1.17	-1.43	-1.58	-2.17	-2.17	-1.75	0.06	1.4	1.88	1.31	1.52	0.95	0.57	0.16
YLR452C	M/G1	2.41	1.46	-0.46	-0.65	-0.91	-0.24	-0.77	-0.65	-0.68	0.02	-0.24	0.24	0.09	0.02	-0.18	-0.14	0.11	0.58
YNL145W	M/G1	2.06	1.36	0.59	-0.8	-0.76	-1.8	-1.03	-1.3	0.12	0.87	1.17	0.34	0.44	-0.76	-0.36	-0.98	0.33	0.49
YNL192W	M/G1	2.04	0.88	-0.03	-0.6	-0.36	-0.68	-0.53	-1.26	-1.3	0.62	1.38	0.93	0.37	-0.4	-0.28	-0.46	-0.49	0.16
