UID	Phase	alpha0	alpha7	alpha14	alpha21	alpha28	alpha35	alpha42	alpha49	alpha56	alpha63	alpha70	alpha77	alpha84	alpha91	alpha98	alpha105	alpha112	alpha119
YDL164C_G1	0	-0.5	-0.42	0.66	1.05	0.68	0.06	0.01	-0.72	-0.72	-0.28	0.23	0.85	0.72	-0.08	-0.13	-0.48	-0.44	-0.48
YDL197C_G1	0	-0.86	-0.29	0.42	0.46	0.3	0.1	-0.63	-0.09	-0.31	-0.45	0.64	0.39	0.12	0.14	0.02	0.44	-0.23	-0.15
YDL227C_G1	0	-0.16	0.2877	0.17	-0.28	-0.02	-0.55	-0.04	0.464911	0.4	-0.2	0.38	0.17	0.21	0.14	0.1	0.01	-0.43	0.1
YDR052C_G1	0	-0.36	-0.03	-0.03	-0.08	-0.23	-0.25	-0.21	-0.01	0.02	0.03	0.6	-0.08	0.82	0.02	-0.14	0.19	-0.26	0
YDR097C_G1	0	-0.72	-0.85	0.54	1.04	0.84	0.24	-0.64	-0.83	-0.36	-0.7	0.99	1.08	0.64	0.18	-0.05	0.03	-0.76	-0.66
YDR113C_G1	0	-0.78	-0.52	0.26	0.2	0.48	0.48	0.27	0.01	-0.29	-0.61	-0.29	0.04	0.31	0.17	0.35	-0.02	0.07	-0.11
YDR309C_G1	0	0.6	-0.55	0.41	0.45	0.18	-0.66	-1.02	-0.98	-0.4	-0.23	1.59	0.67	0.72	-0.23	0.6	-0.09	-0.71	-0.34
YDR356W_G1	0	-0.2	-0.67	0.13	0.1	0.38	0.44	0.05	-0.28	-0.26	0.1	-0.11	0.16	0	-0.03	0.17	0.1	0.1	-0.2
YER001W_G1	0	-2.29	-0.635739	0.77	1.6	0.53	0.55	-0.38	-0.54	-1.08	-0.94	0.07	1.35	1.02	1	0.2	-0.04	-0.97	-0.87
YER070W_G1	0	-1.46	-0.76	1.08	1.5	0.74	0.47	-0.7	-0.68	-1.03	-0.55	0.35	1.24	0.73	0.2	0	0.11	-0.53	-0.72
YER095W_G1	0	-0.57	0.42	1.03	1.35	0.64	0.42	-0.4	-0.9	-0.73	-0.47	0.2	0.78	0.28	-0.05	-0.11	-0.13	-0.87	-0.9
YGL163C_G1	0	-0.11	0.13	0.41	0.6	0.23	0.31	0.19	0.16	-0.55	-0.34	0.05	0.23	0.25	0.08	-0.11	-0.23	-1.1	-0.19
YGL225W_G1	0	-1.08	-0.99	-0.16	0.2	0.61	0.37	0.1	0.3	0.18	-0.49	0.11	0	0.35	0.27	0.46	0.42	-0.2	-0.44
YGR109C_G1	0	-1.79	0.9449	2.13	1.75	0.23	0.15	-0.66	-0.77	-0.73	-0.15	1.14	1.41	0.46	-0.21	-0.77	-0.56	-1.04	-0.58
YIL066C_G1	0	-1.09	0.112176	0.82	1.05	0.9	0.378482	-0.21	-0.55	-0.68	-0.84	0.4	0.9	0.75	0.18	0.23	-0.07	-1.12	-0.66
YIR008C_G1	0	0.07	-0.04	0.44	0.31	0.26	-0.21	0.19	0.07	-0.07	-0.3	-0.07	0.14	0.26	-0.25	0.02	-0.23	-0.38	-0.19
YJL092W_G1	0	-1.17	-0.68	-0.68	0.03	0.33	0.5	0.13	0.1	-0.05	0.05	-0.21	0.32	0.15	0.08	0.38	0.68	0.01	0.03
YJL115W_G1	0	-0.44	0.37	0.5	1.32	0.46	0.18	-0.57	-0.53	-0.17	-0.06	0.23	0.46	0.24	-0.22	-0.44	-0.25	-0.53	-0.55
YJL173C_G1	0	-0.56	-0.56	-0.04	0.34	0.58	0.31	0.52	0.14	-0.23	-0.47	-0.11	-0.13	0.4	-0.14	0.42	-0.21	0.34	-0.59
YJL187C_G1	0	-0.89	-0.59	0.01	0.56	0.44	-0.06	-0.14	-0.19	-0.4	-0.68	0.28	0.65	0.63	0.26	0.34	0.2	-0.0729173	-0.44
YJR057W_G1	0	-0.06	0.07	0.11	0.44	0.08	0.41	-0.06	-0.1	-0.08	0.02	-0.06	0.1	0.17	-0.44	-0.15	-0.24	-0.11	-0.08
YKL042W_G1	0	-0.33	-0.27	0.24	0.18	0.3	-0.12	-0.44	0.19	-0.39	-0.61	0.95	0.24	0.19	-0.2	0.28	0.36	-0.57	0
YKL045W_G1	0	-0.8	0.01	0.86	0.84	0.51	0.14	-0.4	-0.64	-0.8	0.41	0.88	0.75	0.46	-0.27	-0.1	-0.23	-0.42	-1.21
YKL101W_G1	0	-0.28	-0.43	-0.02	0.38	0.8	-0.02	0.17	-0.16	-0.58	-0.43	-0.22	0.53	0.69	0.08	0.05	-0.15	-0.11	-0.28
YKL113C_G1	0	-0.9	-0.23	0.51	1.01	0.52	0.18	-0.33	-0.56	-0.64	-0.49	0.46	0.77	0.72	-0.04	0.04	-0.03	-0.67	-0.33
YLR103C_G1	0	-0.63	-0.19	0.91	0.75	0.49	0.08	-0.29	-0.33	-0.46	-0.33	0.41	0.6	0.34	-0.14	-0.24	-0.14	-0.44	-0.37
YLR342W_G1	0	-0.24	-0.43	-0.01	0.35	0.62	0.15	0.38	-0.59	-0.15	-0.79	-0.43	-0.1	-0.05	0.33	0.39	0.81	0.22	-0.43
YMR199W_G1	0	-1.56	-0.93	1.29	1.65293	0.94	0.48	0.07	-0.54	-1.11	-0.77	0.66	1.14	0.99	0.3	0.35	-0.02	-0.41	-0.88
YMR307W_G1	0	-1.12	-1.64	-0.41	-0.1	0.44	0.36	0.44	0.15	0.01	-0.64	0.01	0.23	0.54	0.8	0.9	0.88	-0.25	-0.6
YNL082W_G1	0	-0.61	-0.1	0.66	0.97	0.21	-0.17	-0.38	-0.44	-0.59	-0.23	0.61	0.68	0.41	-0.33	-0.35	0.42	-0.38	-0.38
YNL102W_G1	0	-0.75	2.01	0.06	0.86	0.5	-0.3	-0.35	-0.33	-0.22	-0.77	0.15	0.6	0.59	-0.04	0.07	-0.66	-0.82	-0.6
YNL262W_G1	0	0.84	-0.52	0.48	0.58	0.87	0.23	-0.19	-0.65	-0.44	-0.5	0.02	0.32	0.43	0.08	0.04	-0.56	-0.33	-0.72
YNL289W_G1	0	0.04	0.62	0.44	0.13	0.18	-0.07	0.09	-0.33	0.1	-0.15	-0.04	-0.2	0.03	-0.4	0.1	-0.55	0.27	-0.24
YNL312W_G1	0	-0.64	-0.73	0.53	1.01	0.83	0.82	0.09	-0.42	-0.73	-0.5	0.11	0.28	0.58	-0.1	0.11	-0.57	-0.17	-0.48
YOL090W_G1	0	-0.61	-0.66	0.56	0.92	1.06	0.09	0.01	-0.73	-0.75	-0.49	0.05	0.7	0.7	-0.13	0.09	-0.23	-0.39	-0.21
YOR074C_G1	0	-1.14	-0.31	0.57	1.08	1.17	0.57	0.31	-0.74	-0.68	-0.1	-0.38	0.75	0.73	0.09	-0.27	-0.22	-0.62	-0.8
YOR368W_G1	0	0	-0.06	0.26	0.15	-0.06	0	-0.04	-0.13	-0.11	0.43	-0.26	0.11	0.19	-0.09	-0.58	0.13	0.07	0
YPL153C_G1	0	-0.59	0.14	1.13	1.2	0.63	-0.04	-0.42	-0.61	-0.96	-0.4	0.36	0.72	0.3	-0.01	0.1	-0.54	-0.46	-0.57
YPL256C_G1	0	-1.41	-0.69	1.39	1.98	0.74	0.21	-0.36	-1.32	-1.5	-1.07	0.35	1.57	1.1	0.56	0.18	-0.32	-0.38	-1.04
YPR120C_G1	0	-0.98	-0.38	0.92	0.97	0.26	-0.09	-0.18	-0.4	-0.35	-0.33	0.7	0.61	0.31	-0.23	0.1	-0.2	-0.21	-0.5
YPR159W_G1	0	0.17	0.16	0.17	0.38	0.47	-0.07	0.04	-0.0748096	-0.3	-0.31	-0.1	-0.22	-0.03	-0.27	0.2	0	-0.23	-0.06
YPR175W_G1	0	-0.41	-0.57	1.15	0.69	0.61	0	-0.22	-0.5	-0.43	-0.33	0.22	0.64	0.42	-0.09	-0.03	-0.5	-0.08	-0.57
YBL002W_S	1	-2.06	-1.98	-1.64	-0.21	1.21	0.69	0.85	0.43	-0.32	-0.77	-1.1	-0.02	0.88	1.3	1.29	1.29	0.16	0
YBL003C_S	1	-1.61	-2.55	-1.09	-0.55	0.98	1.14	0.9	0.43	-0.41	-0.38	-1.18	-0.16	0.77	1.27	1.17	1.3	0.05	-0.09
YBR009C_S	1	-2.36	-2.71	-1.46	-0.16	1.51	1.65	0.68	0.41	-0.31	-0.33	-0.74	-0.01	0.97	1.01	1.36	0.67	0.08	-0.26
YBR010W_S	1	-1.81	-1.94	-1.33	0.01	1.51	0.91	0.69	0.11	-0.4	-0.78	-1.12	-0.09	0.96	1.32	1.24	0.57	0.35	-0.2
YDR224C_S	1	-1.51	-1.57	-1.35	0.04	1.3	1.15	0.94	-0.08	-0.13	-0.72	-0.75	-0.26	0.98	0.94	1.09	0.31	0.07	-0.43
YDR225W_S	1	-1.46	-2.3	-1.41	-0.27	1.4	1.18	1.11	0.08	-0.18	-0.82	-0.9	-0.46	0.98	1.15	1.47	0.58	0.18	-0.35
YNL030W_S	1	-2.25	-1.97	-1.74	0.26	1.26	1.4	0.95	0.22	-0.15	-0.97	-0.74	-0.08	1.14	0.96	1.4	0.55	0.11	-0.33
YNL031C_S	1	-1.71	-1.35	-1.46	0.11	0.94	1.36	0.73	-0.06	-0.25	-0.71	-0.93	0	0.9	1.12	1.07	0.29	0.24	-0.27
YDL155W_S/G2	2	-0.74	-0.33	-0.11	0.19	0.19	0.31	-0.29	0.29	0.09	-0.14	0	0.19	0.06	-0.01	-0.1	0.43	-0.01	-0.01
YDR150W_S/G2	2	-0.44	-0.76	-0.7	-0.65	-0.14	-0.1	0.44	0.22	0.42	0.15	0.13	0.06	0.11	0.15	0.21	0.3	0.41	0.18
YER011W_S/G2	2	-0.4	-0.52	-0.69	0.85	-0.13	-0.55	0.22	-0.31	0.14	-0.13	-0.18	-0.28	0.33	0.12	0.57	0.29	0.59	0.08
YFR028C_S/G2	2	-0.32	-0.44	-0.59	-0.27	-0.37	0.37	0.09	0.06	0.3	0.39	0	-0.03	0.14	0.06	0.17	0.28	-0.05	0.22
YKL096W_S/G2	2	-1.1	0.26	0.24	-0.26	0.03	0.7	1.6	0.72	-0.15	1.41	-2.07	-2.13	-0.78	-0.45	0.82	0.5	0.89	-0.23
YKL096W-A_S/G2	2	-0.12	-0.59	-0.32	-0.43	0.18	-0.41	0.6	-0.03	0.16	-0.36	-0.43	-0.66	0.27	-0.1	0.96	0.18	0.92	0.18
YLR210W_S/G2	2	0.05	0.01	-0.27	0.23	0.36	0.38	0.36	-0.03	-0.11	-0.09	-0.42	-0.08	-0.14	0.22	0.17	0.11	-0.79	0.04
YMR198W_S/G2	2	2.17	-0.1	-0.84	-0.7	-0.04	0.29	0.26	-0.08	-0.04	-0.07	-0.66	-0.52	-0.17	0.12	0.17	0.08	0.26	-0.14
YPR141C_S/G2	2	1.87	-0.59	-0.26	0.05	0.18	0.26	0.43	-0.4	-0.34	-0.45	-0.88	0.02	0.19	0.267998	0.35	0.27	-0.3	-0.4
YAR018C_G2/M	3	-0.46	0.12	-0.06	-0.76	-0.7	-0.79	-0.2	-0.06	0.82	0.36	0.68	-0.13	0.2	-0.32	0.04	0.57	0.17	0.53
YBR054W_G2/M	3	-1.35	-1.1	-0.39	-1.42	-1.22	-1.84	-0.49	0.37	1.21	1.54	1.39	1.12	0.3	0.21	-0.32	0.21	0.65	1.13
YDR033W_G2/M	3	-1.49	-0.997171	-1.27	-1.96	-1.49	-1.85	0.07	0.53	1.61	1.59	1.58	0.85	0.75	-0.23	-0.17	-0.23	0.57	1.16
YDR077W_G2/M	3	-0.02	0.06	0.38	0.33	0.01	-0.4	-0.64	-0.05	0.5	0.02	0.81	0.08	-0.13	-0.46	-0.33	0.04	-0.28	0.07
YDR146C_G2/M	3	-1.29	-0.7	-0.33	-0.88	-0.19	0.05	0.02	0.68	0.75	0.64	0.42	-0.07	-0.79	-0.830479	-0.19	0.73	0.64	0.51
YGL116W_G2/M	3	-0.19	-0.19	-0.49	-0.77	-0.31	-0.61	-0.03	0.48	0.93	0.53	0.11	0.17	-0.51	-0.4	0.08	-0.12	0.56	0.74
YGL190C_G2/M	3	0.17	0.02	-0.03	-0.67	-0.85	-0.55	-0.55	0.52	1.04	0.32	0.84	0.17	-0.25	-0.4	-0.12	0.15	0.18	0
YGR108W_G2/M	3	-1.88	-0.95	-1.22	-1.1	-0.91	-0.06	0.5	1.2	1.11	0.22	0.47	-0.02	-0.12	-0.12	0.42	0.98	0.7	0.78
YHR152W_G2/M	3	0.52	-0.143792	-0.36	-0.27	-0.52	-0.22	-0.13	0.27	0.69	0.29	0.09	-0.01	-0.06	-0.56	-0.39	-0.24	0.51	0.39
YIL106W_G2/M	3	-0.23	-0.407116	-0.66	-0.86	-0.44	-0.25	0.59	0.28	0.71	0.32	-0.14	-0.25	-0.03	-0.36	0.03	0.13	0.74	0.44
YJL157C_G2/M	3	2.12	0.13	-0.85	-1.41	-0.66	-0.97	-0.66	-0.73	-0.25	0.85	1.17	0.53	0.09	0.01	-0.27	-0.03	0.23	0.7
YLR131C_G2/M	3	-1.54	-0.14	-1.05	-1.16	-0.69	0.08	0.61	0.76	0.75	0.44	-0.24	-0.3	0.76	-0.22	0.17	0.37	0.93	0.45
YMR001C_G2/M	3	-0.99	-1.19	-1.33	-1.59	-0.74	0.05	1.01	0.83	1.22	0.7	0.16	-0.21	-0.53	-0.21	0.32	0.7	1.11	0.7
YOR058C_G2/M	3	-0.72	0.43	0.11	0.48	-0.13	-0.32	0	-0.02	1.1	-0.16	0.21	-0.26	-0.11	-0.53	0.54	-0.35	-0.26	-0.02
YPR119W_G2/M	3	-2.36	-1.89533	-1.96	-2.29	-1.36	0.4	1.09	1.54	1.5	0.92	0.05	-0.23	-0.42	-0.29	0.12	0.73	1.35	1.2
YAL040C_M/G1	4	1.04	0.19	0.47	-1.03	-0.63	-0.68	0.1	-0.02	0.53	0.68	0.51	-0.2	-0.34	-0.59	-0.31	-0.25	0.11	0.44
YBR083W_M/G1	4	0.75	0.29	-0.57	-0.03	-0.57	-0.97	-0.49	-0.54	-0.17	0.35	0.91	0.48	0.11	0.01	0.32	-0.36	0.12	0.34
YBR202W_M/G1	4	-0.59	-0.65	0.66	-0.65	-1.12	-1.21	-0.85	0.39	1.04	0.91	0.93	0.48	-0.16	0.02	-0.62	0.24	0.41	0.75
YCL027W_M/G1	4	2.47	0.3	-0.43	-0.12	-0.55	-0.19	-0.51	-0.22	-1.06	-0.11	0.42	0.23	0.08	-0.12	-0.59	0.54	-0.22	0.08
YDL127W_M/G1	4	1.83	-0.5	-0.24	-0.26	-0.26	0.1	-0.32	-1.03	-0.83	0.64	0.92	0.74	0.46	0.14	-0.22	-0.5	-0.28	-0.39
YDL179W_M/G1	4	-0.99	-0.24	-0.74	-0.44	-0.67	-0.01	-0.95	-0.39	-0.44	1.14	1.99	0.87	0.36	0.28	-0.07	0.16	-0.05	0.2
YER111C_M/G1	4	-1.21	-0.26	1.36	1.37	0.54	0.18	-0.85	-0.82	-0.75	0.07	0.89	0.78	0.37	-0.19	-0.11	-0.54	-0.34	-0.47
YFL026W_M/G1	4	2.19	1.44	0.13	-0.63	-0.99137	-1.06	-0.93	-0.77	-0.13	0.26	0.37	0.07	0.03	-0.7	-0.47	-0.63	0.39	0.43
YGR044C_M/G1	4	0.1	0.0530643	-0.12	-0.45	-0.88	-0.57	-1.34	2.22	-1.09	-0.12	0.77	0.89	0.6	0.33	0.07	0.17	-0.21	-0.38
YJL194W_M/G1	4	-1.53	-0.12	0.55	0.0258816	-0.58	-0.22	0.16	-0.09	-0.16	1.02	0.88	0.46	0.1	-0.39	-0.37	-0.24	0.07	0.47
YKL185W_M/G1	4	0.2	-0.61	0.13	-0.85	-0.99	-1.14	-1.5	-1.14	0.11	2.09	2.18	1.21	0.47	0.09	-0.37	-0.28	-0.5	0.9
YLR079W_M/G1	4	-0.66	0.1	-0.57	-0.21	-0.45	-0.42	-0.77	-0.53	-0.47	0.81	1.41	1.01	0.68	0.21	-0.04	-0.09	-0.28	0.27
YLR274W_M/G1	4	0.32	0.35	0.8	0.355352	-0.45	-0.84	-0.77	-0.62	0.24	0.72	0.95	0.52	-0.06	-0.45	-0.71	-0.48	-0.16	0.61
YLR286C_M/G1	4	1.18	0.92	0.5	-0.17	-1.17	-1.43	-1.58	-2.17	-2.17	-1.75	0.06	1.4	1.88	1.31	1.52	0.95	0.57	0.16
YLR452C_M/G1	4	2.41	1.46	-0.46	-0.65	-0.91	-0.24	-0.77	-0.65	-0.68	0.02	-0.24	0.24	0.09	0.02	-0.18	-0.14	0.11	0.58
YNL145W_M/G1	4	2.06	1.36	0.59	-0.8	-0.76	-1.8	-1.03	-1.3	0.12	0.87	1.17	0.34	0.44	-0.76	-0.36	-0.98	0.33	0.49
YNL192W_M/G1	4	2.04	0.88	-0.03	-0.6	-0.36	-0.68	-0.53	-1.26	-1.3	0.62	1.38	0.93	0.37	-0.4	-0.28	-0.46	-0.49	0.16
YNL327W_M/G1	4	-1.46	-1.25015	-1.14	-1.12954	-1.29	-1.66	-1.88	-1.46	-2.14	1.6	2.71	2.71	1.93	1.18767	0.82	0.71	-0.38	0.93
YNR044W_M/G1	4	4.44	3.07	1.8	-0.63	-0.71	-1.24	-0.82	-1.35	-1.26	-0.99	-0.48	-0.12	-0.25	-0.427197	-0.53	-0.52	-0.38	-0.03
